intern_id,name,age,gender,department,internship_duration,attendance_rate,task_completion_rate,punctuality_score,communication_score,teamwork_score,technical_score,problem_solving_score,initiative_score,project_score,mentor_feedback_score,training_hours,certifications,late_submissions,extra_activities,overall_performance,soft_skills_score,discipline_score
40,Intern_40,24,female,data science,3,66,68,7.3,7.3,9.1,9.4,7.9,3.5,65,6.5,25,0,8,0,47.46666666666667,6.633333333333333,58
41,Intern_41,27,male,hr,6,77,87,3.3,3.4,3.4,6.5,8.8,5.3,74,4.3,21,1,12,0,55.833333333333336,4.033333333333333,65
42,Intern_42,27,male,iot,6,63,51,6.8,8.7,7.0,8.4,8.8,8.6,79,3.0,52,0,11,0,46.13333333333333,8.1,52
43,Intern_43,26,female,marketing,9,68,57,3.9,5.6,5.9,3.6,8.0,6.2,49,5.8,98,5,4,1,36.53333333333333,5.8999999999999995,64
44,Intern_44,24,female,data science,6,74,65,5.6,3.1,8.9,7.8,8.6,7.9,45,6.8,34,6,7,0,39.266666666666666,6.633333333333333,67
45,Intern_45,20,female,hr,3,99,95,7.6,6.2,7.3,6.5,6.8,4.3,68,8.9,94,3,5,1,56.5,5.933333333333334,94
46,Intern_46,20,male,marketing,3,97,55,8.5,6.5,8.7,6.6,7.3,3.6,80,5.6,38,5,7,0,47.199999999999996,6.266666666666667,90
47,Intern_47,20,male,web dev,3,70,60,5.1,5.9,6.1,6.9,5.7,6.7,92,7.3,108,0,13,1,52.96666666666667,6.233333333333333,57
48,Intern_48,24,male,iot,6,60,71,8.1,9.6,9.0,4.1,3.2,5.0,81,5.9,44,4,9,1,52.03333333333333,7.866666666666667,51
49,Intern_49,24,female,marketing,9,93,54,7.2,8.3,5.0,9.6,4.0,9.5,87,6.5,96,4,11,1,50.199999999999996,7.6000000000000005,82
50,Intern_50,26,female,hr,9,61,56,7.3,5.4,3.4,6.5,6.5,9.7,95,3.0,16,4,8,0,52.5,6.166666666666667,53
51,Intern_51,23,female,marketing,3,95,85,8.7,9.3,7.0,9.8,3.3,6.6,87,6.5,57,2,3,0,60.6,7.633333333333333,92
52,Intern_52,22,male,hr,9,60,60,4.7,8.1,3.0,7.8,3.8,6.7,64,5.5,94,1,1,0,43.93333333333334,5.933333333333334,59
53,Intern_53,19,male,iot,6,79,86,3.9,5.5,6.7,3.7,9.6,8.7,55,6.5,56,2,6,0,48.23333333333333,6.966666666666666,73
54,Intern_54,19,female,iot,6,83,80,8.4,8.1,4.0,7.3,9.9,3.2,61,6.5,116,4,14,1,49.43333333333334,5.1000000000000005,69
55,Intern_55,19,male,marketing,6,60,73,9.6,5.0,4.9,6.5,3.8,7.1,52,5.8,66,6,4,0,43.833333333333336,5.666666666666667,56
56,Intern_56,19,female,marketing,9,74,81,3.7,9.9,7.2,6.3,9.8,9.9,50,7.2,106,5,14,1,45.76666666666667,9.0,60
57,Intern_57,21,male,data science,6,72,100,7.2,5.9,8.5,5.8,3.2,3.9,83,9.3,145,4,7,0,62.93333333333334,6.1000000000000005,65
58,Intern_58,21,male,hr,3,85,69,7.0,6.4,8.9,6.2,8.8,4.1,59,7.0,100,3,6,0,44.73333333333333,6.466666666666666,79
59,Intern_59,26,male,data science,3,76,74,3.1,9.2,6.0,6.8,6.2,3.5,54,3.3,110,0,7,0,44.93333333333334,6.233333333333333,69
60,Intern_60,19,male,iot,3,92,90,9.4,9.7,9.8,6.8,6.4,4.4,92,9.8,62,5,5,1,62.93333333333334,7.966666666666666,87
61,Intern_61,24,female,data science,9,69,55,3.9,9.4,6.9,3.7,5.8,9.5,49,5.2,88,2,0,0,35.9,8.6,69
62,Intern_62,19,male,data science,9,74,86,6.7,6.5,3.9,9.4,8.2,7.1,63,5.3,117,2,12,0,52.800000000000004,5.833333333333333,62
63,Intern_63,20,female,hr,9,63,69,8.0,9.3,8.0,7.5,4.8,4.3,89,4.1,122,1,10,0,55.166666666666664,7.2,53
64,Intern_64,23,male,data science,9,78,94,8.5,4.3,8.1,5.1,7.8,5.9,86,6.5,73,3,10,1,61.699999999999996,6.099999999999999,68
65,Intern_65,20,female,data science,9,90,91,9.8,3.1,7.5,9.3,3.2,9.2,65,6.5,13,0,10,0,55.1,6.599999999999999,80
66,Intern_66,21,female,data science,3,100,84,8.8,6.5,3.4,3.4,6.3,9.4,63,4.4,130,0,0,0,50.13333333333333,6.433333333333334,100
67,Intern_67,21,male,hr,6,81,58,6.8,4.3,5.3,4.7,5.2,5.3,78,4.7,131,3,8,0,46.9,4.966666666666666,73
68,Intern_68,23,female,data science,9,100,98,9.6,4.3,5.7,6.5,5.3,3.0,75,6.5,51,3,14,1,59.833333333333336,4.333333333333333,86
69,Intern_69,27,female,iot,9,79,92,4.9,9.5,5.7,6.5,9.2,3.1,43,3.1,21,0,2,0,47.166666666666664,6.1000000000000005,77
70,Intern_70,19,male,hr,9,61,53,6.2,3.1,7.0,5.9,8.9,3.6,64,7.7,98,3,7,0,40.96666666666667,4.566666666666666,54
71,Intern_71,25,male,marketing,9,63,88,9.5,6.2,9.3,8.6,7.4,4.6,87,6.5,114,0,11,1,61.199999999999996,6.7,52
72,Intern_72,19,female,data science,3,86,75,8.5,8.7,7.6,6.5,7.7,8.4,41,6.0,38,3,9,0,40.833333333333336,8.233333333333333,77
73,Intern_73,23,male,marketing,6,62,99,9.4,3.7,4.8,3.3,8.9,7.1,93,4.7,81,0,5,1,65.10000000000001,5.2,57
74,Intern_74,20,male,data science,9,91,100,3.9,6.9,8.5,7.6,3.4,5.5,93,7.4,69,2,11,1,66.86666666666666,6.966666666666666,80
75,Intern_75,24,male,data science,6,79,64,5.3,8.0,8.7,3.4,3.8,3.2,64,4.3,20,2,4,1,43.800000000000004,6.633333333333333,75
76,Intern_76,20,male,iot,6,96,60,5.6,6.5,7.6,7.7,3.7,8.1,52,6.5,76,4,8,0,39.9,7.3999999999999995,88
77,Intern_77,27,male,marketing,6,61,59,9.8,6.5,7.2,3.3,7.5,8.8,94,6.5,45,2,14,1,52.1,7.5,47
78,Intern_78,27,male,hr,9,95,54,7.6,9.8,8.5,3.1,3.5,9.2,60,6.5,146,4,11,1,39.03333333333333,9.166666666666666,84
79,Intern_79,26,female,hr,9,97,79,3.3,9.9,8.5,9.2,9.3,3.5,96,6.5,144,5,9,1,61.4,7.3,88
80,Intern_80,19,male,marketing,6,91,96,6.7,4.2,9.2,3.6,5.4,8.4,58,6.4,102,0,11,0,52.53333333333333,7.266666666666666,80
81,Intern_81,19,female,data science,6,87,96,7.8,7.7,8.4,6.9,4.5,6.4,60,8.4,91,3,5,1,54.300000000000004,7.5,82
82,Intern_82,20,male,hr,6,98,74,6.0,6.5,3.1,5.3,9.6,8.3,62,7.7,25,5,1,0,47.1,5.966666666666666,97
83,Intern_83,26,female,data science,6,84,62,9.8,4.9,7.6,9.8,5.0,9.0,76,6.5,131,3,6,0,49.26666666666667,7.166666666666667,78
84,Intern_84,27,male,web dev,3,79,83,6.0,6.1,5.3,6.5,9.8,6.2,86,8.9,108,2,4,0,58.5,5.866666666666666,75
85,Intern_85,26,female,iot,6,60,75,4.1,7.5,9.3,5.5,8.7,6.8,68,6.8,127,5,5,0,49.5,7.866666666666667,55
86,Intern_86,23,male,hr,9,94,86,9.8,8.6,9.2,9.5,5.8,3.3,74,5.9,110,5,11,0,56.5,7.033333333333332,83
87,Intern_87,19,female,web dev,6,73,62,7.0,6.1,9.2,8.4,8.1,3.1,79,4.0,39,2,1,0,49.800000000000004,6.133333333333333,72
88,Intern_88,19,female,data science,9,61,58,7.6,6.9,7.3,8.7,3.4,3.6,73,3.7,71,5,13,1,46.56666666666666,5.933333333333334,48
89,Intern_89,23,female,data science,9,83,78,5.5,4.3,5.6,8.9,6.4,4.2,79,8.4,59,2,10,0,55.300000000000004,4.699999999999999,73
90,Intern_90,22,female,marketing,3,76,53,5.5,7.0,4.6,7.2,6.1,9.1,98,5.3,145,4,2,0,52.73333333333333,6.8999999999999995,74
91,Intern_91,19,male,iot,6,72,61,5.6,6.5,5.3,6.5,5.4,4.2,95,6.5,104,5,8,0,54.166666666666664,5.333333333333333,64
92,Intern_92,27,male,data science,3,80,86,6.8,8.9,4.3,4.3,5.7,9.2,84,7.7,11,0,11,1,58.1,7.466666666666666,69
93,Intern_93,21,male,hr,6,91,99,4.3,6.5,8.1,4.8,5.3,3.2,44,4.4,84,4,14,0,49.26666666666667,5.933333333333334,77
94,Intern_94,26,male,hr,6,81,64,5.6,4.2,7.1,5.6,7.6,5.5,90,6.5,74,4,12,1,53.199999999999996,5.6000000000000005,69
95,Intern_95,21,male,data science,6,74,78,4.2,8.8,8.8,7.8,8.0,8.5,65,5.0,79,0,12,0,50.26666666666667,8.700000000000001,62
96,Intern_96,20,female,data science,6,65,84,6.6,6.2,5.6,6.5,4.4,4.7,69,6.3,81,6,7,1,53.166666666666664,5.5,58
97,Intern_97,22,male,iot,9,89,94,3.4,6.4,8.6,6.5,9.0,4.6,44,8.4,22,1,11,1,48.166666666666664,6.533333333333334,78
98,Intern_98,21,female,hr,3,80,93,3.8,6.4,8.2,5.7,7.3,4.0,56,9.5,53,3,0,1,51.56666666666666,6.2,80
99,Intern_99,23,female,hr,6,91,79,3.9,6.1,9.5,7.0,3.2,3.1,98,6.5,47,4,11,1,61.333333333333336,6.233333333333333,80
100,Intern_100,20,male,hr,9,69,71,8.7,5.9,4.5,9.8,3.7,7.7,47,4.2,95,0,6,1,42.6,6.033333333333334,63
101,Intern_101,21,male,data science,6,61,65,5.8,3.5,7.1,8.6,8.9,4.3,54,6.5,90,4,5,0,42.53333333333333,4.966666666666666,56
102,Intern_102,21,female,hr,6,90,77,9.2,4.4,8.0,7.8,6.3,8.8,63,9.3,20,1,9,1,49.26666666666667,7.066666666666667,81
103,Intern_103,26,female,data science,3,61,77,7.7,9.9,8.0,6.2,6.8,6.5,93,6.5,98,2,9,1,58.73333333333333,8.133333333333333,52
104,Intern_104,22,male,marketing,3,92,62,8.9,6.5,8.3,6.8,5.5,5.0,64,9.8,133,2,8,1,44.26666666666667,6.6000000000000005,84
105,Intern_105,23,male,web dev,6,67,62,6.8,7.6,3.5,6.5,4.9,4.7,42,8.0,138,2,0,1,36.833333333333336,5.266666666666667,67
106,Intern_106,20,male,marketing,3,83,60,3.3,8.0,5.5,5.7,9.1,7.2,43,5.7,126,0,2,1,36.233333333333334,6.8999999999999995,81
107,Intern_107,25,male,hr,3,89,100,5.3,6.5,3.2,5.4,7.4,5.0,94,5.0,29,1,1,1,66.46666666666667,4.8999999999999995,88
108,Intern_108,26,male,web dev,3,87,76,6.4,6.5,3.9,6.0,5.1,9.9,92,4.5,143,6,5,1,58.0,6.766666666666667,82
109,Intern_109,20,female,web dev,3,93,82,3.9,8.6,3.7,4.8,4.6,4.0,86,7.4,67,5,10,0,57.6,5.433333333333334,83
110,Intern_110,19,female,iot,3,73,65,4.7,5.7,4.4,4.9,9.9,6.5,100,9.3,82,1,3,0,56.63333333333333,5.533333333333334,70
111,Intern_111,19,female,web dev,6,69,53,4.6,8.3,6.1,6.9,3.8,6.2,99,3.5,62,5,12,0,52.96666666666667,6.866666666666667,57
112,Intern_112,24,female,iot,9,98,65,3.0,6.5,10.0,4.4,5.8,3.4,62,5.2,78,6,1,0,43.800000000000004,6.633333333333333,97
113,Intern_113,27,female,marketing,6,97,58,5.8,8.1,9.2,6.3,3.5,4.8,53,7.4,79,3,3,1,39.1,7.366666666666666,94
114,Intern_114,23,male,data science,3,83,92,9.9,10.0,5.0,4.0,4.0,4.3,73,6.8,27,2,14,0,56.333333333333336,6.433333333333334,69
115,Intern_115,27,female,hr,9,89,62,9.0,3.7,4.5,3.0,3.2,7.1,54,6.5,107,0,5,1,39.666666666666664,5.1,84
116,Intern_116,27,female,hr,6,61,72,5.8,6.6,7.1,9.9,6.1,3.7,46,4.3,46,4,7,1,42.63333333333333,5.8,54
117,Intern_117,22,male,web dev,6,69,88,9.8,5.1,9.4,4.7,5.1,8.4,50,6.3,80,5,13,1,47.56666666666666,7.633333333333333,56
118,Intern_118,23,male,hr,9,85,65,8.4,7.8,8.4,9.4,6.8,3.9,50,3.4,63,4,1,0,41.46666666666667,6.699999999999999,84
119,Intern_119,21,male,iot,3,97,89,7.5,6.7,3.2,8.3,7.3,4.6,71,6.5,16,2,10,0,56.1,4.833333333333333,87
120,Intern_120,24,male,iot,6,95,67,9.4,7.0,9.1,9.9,8.1,9.9,48,3.4,97,6,0,0,41.63333333333333,8.666666666666666,95
121,Intern_121,23,female,data science,3,63,59,6.3,4.7,5.6,3.1,6.2,7.7,75,6.3,123,1,10,1,45.699999999999996,6.0,53
122,Intern_122,26,female,data science,9,98,59,8.7,6.8,7.7,9.8,6.4,9.7,94,7.8,92,3,1,1,54.26666666666667,8.066666666666666,97
123,Intern_123,20,female,web dev,6,84,76,8.1,7.2,9.2,6.5,7.6,8.6,50,6.5,128,4,0,1,44.166666666666664,8.333333333333334,84
124,Intern_124,19,male,hr,3,77,92,4.9,6.6,8.2,5.2,6.5,3.8,73,6.5,16,3,14,1,56.73333333333333,6.199999999999999,63
125,Intern_125,26,female,data science,6,70,89,9.4,6.5,4.1,6.5,5.5,9.3,88,8.0,56,4,2,0,61.166666666666664,6.633333333333333,68
126,Intern_126,23,female,iot,6,97,86,3.2,6.1,8.2,6.5,3.6,5.4,51,4.8,88,5,5,0,47.833333333333336,6.566666666666666,92
127,Intern_127,27,male,iot,6,99,81,6.6,4.8,9.0,6.5,7.0,3.2,74,6.5,66,4,7,1,53.833333333333336,5.666666666666667,92
128,Intern_128,27,female,web dev,9,99,73,8.5,9.0,9.5,8.0,4.0,7.3,47,6.5,83,4,10,1,42.666666666666664,8.6,89
129,Intern_129,23,male,hr,6,98,60,8.6,6.9,4.5,5.8,9.9,4.1,47,5.0,95,2,6,1,37.6,5.166666666666667,92
130,Intern_130,20,female,hr,9,76,66,6.5,6.5,7.8,6.5,6.2,8.2,95,6.6,40,4,2,1,55.833333333333336,7.5,74
131,Intern_131,23,female,hr,6,92,100,4.7,3.3,9.9,9.8,8.4,6.3,96,6.3,10,1,2,0,68.60000000000001,6.5,90
132,Intern_132,19,male,marketing,6,63,50,8.6,9.2,5.9,9.3,8.9,5.9,91,5.5,11,0,2,1,50.1,7.0,61
133,Intern_133,24,male,web dev,3,88,51,6.8,9.8,7.9,4.8,3.1,4.2,47,7.5,27,4,5,1,34.266666666666666,7.300000000000001,83
134,Intern_134,25,male,hr,3,93,76,4.3,3.5,6.7,4.0,8.1,9.4,57,3.5,93,5,7,0,45.666666666666664,6.533333333333334,86
135,Intern_135,26,female,web dev,9,64,100,5.3,9.2,7.8,8.2,7.8,6.2,52,6.4,145,0,2,0,53.4,7.733333333333333,62
136,Intern_136,19,female,data science,6,74,88,7.3,4.5,7.9,5.0,8.7,8.0,82,5.3,141,2,4,0,58.333333333333336,6.8,70
137,Intern_137,26,male,marketing,6,73,78,5.2,8.6,7.2,6.8,6.6,9.5,58,5.4,57,3,2,1,47.6,8.433333333333334,71
138,Intern_138,27,male,data science,6,96,99,6.9,5.2,3.9,8.7,3.1,8.2,53,5.8,81,4,11,1,53.56666666666666,5.766666666666666,85
139,Intern_139,20,female,hr,6,73,83,6.8,6.2,4.9,9.9,4.8,7.5,85,5.7,99,6,3,0,59.300000000000004,6.2,70
140,Intern_140,24,male,marketing,3,93,66,5.6,6.5,7.7,9.0,8.1,7.5,72,5.9,8,2,5,1,49.0,7.233333333333333,88
141,Intern_141,22,male,web dev,6,79,62,7.0,8.7,8.8,7.6,8.9,9.2,95,9.9,97,4,1,1,54.86666666666667,8.9,78
142,Intern_142,25,female,marketing,6,72,60,4.5,9.0,4.2,6.5,8.6,5.9,52,3.5,63,1,7,0,39.5,6.366666666666667,65
143,Intern_143,20,male,iot,6,67,94,4.5,7.8,6.1,8.5,5.0,8.9,41,5.9,123,1,13,1,47.833333333333336,7.599999999999999,54
144,Intern_144,22,male,marketing,6,85,68,9.1,5.6,4.2,6.5,9.2,4.4,71,7.3,70,1,1,1,48.5,4.733333333333333,84
145,Intern_145,26,male,web dev,3,85,87,7.0,5.9,9.9,6.0,9.8,3.7,80,6.3,120,3,6,0,57.666666666666664,6.5,79
146,Intern_146,23,male,data science,9,68,62,7.4,3.4,6.3,7.8,9.7,3.7,89,6.5,130,5,8,0,52.93333333333334,4.466666666666666,60
147,Intern_147,19,female,marketing,3,87,57,7.6,8.0,3.7,6.5,9.1,7.9,42,9.5,115,4,7,0,35.166666666666664,6.533333333333334,80
148,Intern_148,27,female,iot,3,67,51,4.5,4.0,4.2,4.4,4.6,4.1,93,8.1,100,1,12,0,49.46666666666667,4.1,55
149,Intern_149,23,male,web dev,9,70,98,6.0,4.4,9.0,7.3,9.7,6.7,88,3.0,124,3,10,0,64.43333333333334,6.7,60
150,Intern_150,26,male,web dev,6,64,97,4.6,8.4,3.5,10.0,3.3,7.8,65,4.1,123,1,4,1,57.333333333333336,6.566666666666666,60
151,Intern_151,27,male,data science,9,86,90,9.1,6.5,4.7,6.8,4.9,5.0,88,6.4,64,6,13,0,61.6,5.3999999999999995,73
152,Intern_152,24,female,iot,6,64,86,6.1,8.4,5.0,6.8,8.3,5.8,86,7.5,149,6,2,0,59.6,6.3999999999999995,62
153,Intern_153,25,female,iot,9,86,57,3.7,6.0,8.1,5.6,6.8,6.2,68,6.9,115,3,9,1,43.53333333333333,6.766666666666667,77
154,Intern_154,26,female,data science,9,69,58,3.2,5.8,8.5,5.5,3.6,7.4,44,5.2,146,1,7,1,35.833333333333336,7.233333333333334,62
155,Intern_155,22,female,web dev,6,83,64,8.2,8.8,4.4,4.6,8.1,8.1,55,3.0,111,2,13,0,41.199999999999996,7.1000000000000005,70
156,Intern_156,24,female,hr,6,96,58,7.0,8.8,3.7,4.7,9.6,8.9,91,8.5,6,3,12,0,51.23333333333333,7.133333333333333,84
157,Intern_157,20,male,marketing,3,67,88,6.6,8.6,9.4,6.5,4.7,7.0,91,4.6,55,6,4,1,61.833333333333336,8.333333333333334,63
158,Intern_158,27,male,data science,6,88,56,5.3,6.5,8.0,9.0,4.5,8.2,73,9.7,92,5,14,1,46.0,7.566666666666666,74
159,Intern_159,21,female,hr,9,63,81,4.6,6.5,3.6,9.9,7.2,5.5,69,6.5,123,0,1,0,53.300000000000004,5.2,62
160,Intern_160,27,male,web dev,6,87,100,9.2,9.2,9.0,8.3,3.2,9.9,69,10.0,45,6,9,1,59.1,9.366666666666667,78
161,Intern_161,23,female,data science,6,90,67,3.1,6.5,8.4,6.9,9.4,4.0,81,3.4,113,6,1,1,51.63333333333333,6.3,89
162,Intern_162,24,male,data science,6,94,93,6.2,9.6,4.8,9.2,6.4,3.9,59,5.8,118,1,1,0,53.73333333333333,6.099999999999999,93
163,Intern_163,19,male,data science,6,85,88,4.2,6.5,3.8,7.6,9.9,9.3,79,9.7,31,0,14,0,58.199999999999996,6.533333333333334,71
164,Intern_164,27,male,web dev,3,97,79,8.8,7.5,5.7,3.4,3.4,4.9,54,6.0,71,3,11,1,45.46666666666667,6.033333333333334,86
165,Intern_165,26,female,iot,6,78,64,6.0,9.0,6.6,8.2,4.0,6.5,40,4.1,49,5,8,1,37.4,7.366666666666667,70
166,Intern_166,20,male,data science,6,74,97,8.2,5.7,3.5,5.8,7.5,6.6,74,7.2,70,4,12,1,58.93333333333334,5.266666666666667,62
167,Intern_167,21,male,web dev,6,91,62,8.1,9.9,7.4,6.2,3.8,5.7,56,9.6,22,6,4,0,41.4,7.666666666666667,87
168,Intern_168,24,male,hr,9,87,62,5.4,3.8,6.9,4.7,5.8,8.0,57,5.8,23,5,6,0,41.233333333333334,6.233333333333333,81
169,Intern_169,21,female,data science,3,66,52,4.2,6.5,4.8,4.5,9.5,5.1,58,8.9,34,0,11,0,38.166666666666664,5.466666666666666,55
170,Intern_170,26,female,web dev,3,78,64,9.9,3.3,5.5,4.7,5.4,8.1,88,3.0,82,0,13,1,52.23333333333333,5.633333333333333,65
171,Intern_171,25,female,data science,9,97,67,7.9,7.6,6.8,3.5,8.3,5.6,58,6.6,22,4,3,1,42.833333333333336,6.666666666666667,94
172,Intern_172,26,female,hr,6,98,74,9.8,3.2,7.8,9.4,3.0,6.8,45,8.9,104,1,9,0,42.800000000000004,5.933333333333334,89
173,Intern_173,20,male,marketing,6,100,100,4.8,4.3,7.3,4.2,7.1,6.2,44,6.5,78,2,9,1,49.4,5.933333333333334,91
174,Intern_174,24,male,marketing,3,77,95,6.0,5.1,8.7,6.5,9.3,5.8,93,4.9,148,5,12,0,64.83333333333333,6.533333333333332,65
175,Intern_175,26,male,hr,3,76,63,8.8,6.5,4.9,3.6,4.6,9.6,94,6.5,39,5,7,1,53.53333333333333,7.0,69
176,Intern_176,24,male,marketing,6,99,86,3.1,6.8,9.7,4.3,3.1,3.9,60,4.5,118,1,3,1,50.1,6.8,96
177,Intern_177,26,male,data science,6,85,81,5.8,4.6,4.6,9.4,3.7,3.5,41,6.1,90,2,10,1,43.800000000000004,4.233333333333333,75
178,Intern_178,21,female,hr,9,74,63,3.9,6.7,5.8,9.1,4.3,3.5,59,3.9,90,1,0,0,43.699999999999996,5.333333333333333,74
179,Intern_179,25,female,hr,3,97,59,3.6,7.5,6.1,3.4,3.2,7.1,52,4.7,22,0,3,0,38.13333333333333,6.8999999999999995,94
180,Intern_180,23,female,data science,3,83,70,9.5,6.3,8.6,3.8,4.4,9.6,46,7.2,145,1,1,0,39.93333333333333,8.166666666666666,82
181,Intern_181,27,female,data science,9,61,70,6.9,3.0,8.0,5.9,7.7,7.3,92,3.6,10,3,13,0,55.96666666666667,6.1000000000000005,48
